Fecha,Adj Close
24/01/2020,33.20280838
27/01/2020,32.29626846
28/01/2020,33.01361465
29/01/2020,33.19162369
30/01/2020,32.68147278
31/01/2020,33.29922867
04/02/2020,33.55031967
05/02/2020,34.6503334
06/02/2020,33.38293076
07/02/2020,32.88074493
10/02/2020,32.6695137
11/02/2020,33.31118774
12/02/2020,34.07642365
13/02/2020,34.35539627
14/02/2020,33.75757599
17/02/2020,33.79020309
18/02/2020,34.7203598
19/02/2020,34.53593826
20/02/2020,34.51186752
21/02/2020,34.47980118
24/02/2020,33.40530777
25/02/2020,33.46144104
26/02/2020,33.67795181
27/02/2020,33.20485306
28/02/2020,33.34115982
02/03/2020,33.46144104
03/03/2020,33.58172607
04/03/2020,33.61379242
05/03/2020,33.90246201
06/03/2020,32.61949921
09/03/2020,32.13838577
10/03/2020,33.82262421
11/03/2020,31.92868805
12/03/2020,30.66064072
13/03/2020,32.44078064
17/03/2020,30.97765923
18/03/2020,27.91321945
19/03/2020,27.24668121
20/03/2020,26.70207024
23/03/2020,25.10076332
24/03/2020,26.0274086
25/03/2020,28.46595573
26/03/2020,28.57162666
27/03/2020,28.51472282
30/03/2020,28.87237549
31/03/2020,29.05932617
01/04/2020,28.14893913
02/04/2020,28.44970131
03/04/2020,28.00263596
06/04/2020,29.57955551
07/04/2020,28.78297043
08/04/2020,30.48994446
13/04/2020,31.5222683
14/04/2020,31.54664612
15/04/2020,29.83153534
16/04/2020,30.35176468
17/04/2020,31.14022446
20/04/2020,30.9370079
21/04/2020,31.03455925
22/04/2020,30.88011742
23/04/2020,30.41678429
24/04/2020,30.00223923
27/04/2020,30.05101395
28/04/2020,30.52246094
29/04/2020,36.30181503
30/04/2020,31.93681908
04/05/2020,31.56290245
05/05/2020,32.22944641
06/05/2020,31.92868805
07/05/2020,32.24570084
08/05/2020,32.79843903
11/05/2020,31.08333397
12/05/2020,31.31904793
13/05/2020,31.09957886
14/05/2020,31.79863358
15/05/2020,31.87178421
18/05/2020,32.27008438
19/05/2020,32.39201736
20/05/2020,33.3024025
21/05/2020,33.05854797
22/05/2020,32.89597702
25/05/2020,33.06667709
26/05/2020,32.76592255
27/05/2020,32.87971878
28/05/2020,32.88785172
29/05/2020,34.27782059
01/06/2020,33.36743546
02/06/2020,33.67631531
03/06/2020,33.83887863
04/06/2020,33.57876968
05/06/2020,33.765728
08/06/2020,33.48123169
09/06/2020,32.91223526
10/06/2020,32.91223526
11/06/2020,32.22131729
12/06/2020,31.94494629
15/06/2020,33.19673538
16/06/2020,33.09106064
17/06/2020,32.99351883
18/06/2020,32.57085037
19/06/2020,33.77385712
22/06/2020,34.05021667
23/06/2020,34.70050049
24/06/2020,34.26969147
25/06/2020,34.76552963
26/06/2020,33.96894073
29/06/2020,33.33490753
30/06/2020,33.41619873
01/07/2020,34.54606628
02/07/2020,34.60295868
03/07/2020,34.84681702
06/07/2020,34.75738907
07/07/2020,34.06647491
08/07/2020,33.75759506
09/07/2020,33.91204071
10/07/2020,33.57876968
13/07/2020,33.52186203
14/07/2020,33.34303665
15/07/2020,33.7250824
16/07/2020,33.7901268
17/07/2020,35.33452606
20/07/2020,34.56231308
21/07/2020,35.32405853
22/07/2020,34.84039307
23/07/2020,35.24207687
24/07/2020,35.57818222
27/07/2020,35.45522308
28/07/2020,35.35685349
29/07/2020,35.1764946
30/07/2020,35.16830063
31/07/2020,35.72574615
03/08/2020,34.96334839
04/08/2020,35.67656326
05/08/2020,35.66836548
06/08/2020,35.68475723
07/08/2020,36.10284042
10/08/2020,36.11104202
11/08/2020,36.00447464
12/08/2020,36.03726196
13/08/2020,35.98807526
14/08/2020,36.84063721
17/08/2020,36.88983154
18/08/2020,36.28319931
19/08/2020,36.43075943
20/08/2020,36.6356926
21/08/2020,36.48813248
24/08/2020,36.25859833
25/08/2020,36.41436386
26/08/2020,36.225811
27/08/2020,35.75853729
28/08/2020,36.20941544
31/08/2020,35.61097717
01/09/2020,35.53719711
02/09/2020,35.52079773
03/09/2020,35.69296265
04/09/2020,35.76673889
07/09/2020,36.51272202
08/09/2020,35.53719711
